cenus	name	mother	block	poss	xcoord	ycoord	treat	col.E	tag	sp	dia	height	leaf	sday	surv	Bleaf	Bstem	Broot	Btotal
0	A1	8K_SJoh_8	A	1	0	0	18	silver	A_Sjoh_1	Sjoh	3.75	355	5	41	1	NA	NA	NA	NA
0	A2	Ssmi_m_2	A	2	0.5	0	15	red	A_Ssmi_2	Ssmi	3.98	280	5	30	1	NA	NA	NA	NA
0	A3	Pm_m_3	A	3	1	0	0	white	A_Pmal_3	Pmal	3.13	305	5	84	1	NA	NA	NA	NA
0	A4	DL_m_1	A	4	1.5	0	12	blue	A_Dry_4	Dry	4.8	505	12	84	1	NA	NA	NA	NA
0	A5	Sxan_1	A	5	2	0	18	silver	A_Sxan_5	Sxan	4.04	230	4	33	1	NA	NA	NA	NA
0	A6	8Pslep_2	A	6	2.5	0	6	yellow	A_Slep_6	Slep	5.2	454	13	84	1	NA	NA	NA	NA
0	A7	Ptom_3	A	7	3	0	6	yellow	A_Ptom_7	Ptom	4.24	160	4	84	1	NA	NA	NA	NA
0	A8	12I_Slep_3	A	8	3.5	0	18	silver	A_Slep_8	Slep	5.97	562	13	84	1	NA	NA	NA	NA
0	A9	12H_Slep_8	A	9	0	0.5	0	white	A_Slep_9	Slep	4.6	514	9	84	1	NA	NA	NA	NA
0	A10	SS	A	10	0.5	0.5	3	orange	A_Ssem_10	Ssem	4.19	335	10	84	1	NA	NA	NA	NA
0	A11	SL_maliau	A	11	1	0.5	9	black	A_Slep_11	Slep	4.38	350	14	84	1	NA	NA	NA	NA
0	A12	SP_m_7	A	12	1.5	0.5	0	white	A_Spar_12	Spar	3.06	302	6	84	1	NA	NA	NA	NA
0	A13	DL_m_1	A	13	2	0.5	15	red	A_Dry_13	Dry	6.7	561	10	84	1	NA	NA	NA	NA
0	A14	SS	A	14	2.5	0.5	6	yellow	A_Ssem_14	Ssem	2.56	185	10	84	1	NA	NA	NA	NA
0	A15	SS	A	15	3	0.5	0	white	A_Ssem_15	Ssem	4.43	122	4	84	1	NA	NA	NA	NA
0	A16	Sp_m_3	A	16	3.5	0.5	15	red	A_Spar_16	Spar	4.21	410	7	66	1	NA	NA	NA	NA
0	A17	SS	A	17	0	1	18	silver	A_Ssem_17	Ssem	3.29	242	6	55	1	NA	NA	NA	NA
0	A18	8m_Sxan_3	A	18	0.5	1	18	silver	A_Sxan_18	Sxan	4.63	265	7	26	1	NA	NA	NA	NA
0	A19	Sbec_Sfr	A	19	1	1	21	green	A_Sbec_19	Sbec	5.01	355	6	26	1	NA	NA	NA	NA
0	A20	9P_Slep_2	A	20	1.5	1	3	orange	A_Slep_20	Slep	4.11	311	5	84	1	NA	NA	NA	NA
0	A21	SS	A	21	2	1	15	red	A_Ssem_21	Ssem	3.82	392	9	67	1	NA	NA	NA	NA
0	A22	DL_m_2	A	22	2.5	1	3	orange	A_Dry_22	Dry	5.65	693	11	84	1	NA	NA	NA	NA
0	A23	8m_Sxan_3	A	23	3	1	3	orange	A_Sxan_23	Sxan	2.56	171	5	77	1	NA	NA	NA	NA
0	A24	SHOREABECCARINA_Sbec	A	24	3.5	1	0	white	A_Sbec_24	Sbec	5.14	312	6	84	1	NA	NA	NA	NA
0	A25	8P_Slep_4	A	25	0	1.5	18	silver	A_Slep_25	Slep	3.31	372	4	84	1	NA	NA	NA	NA
0	A26	SL_m_1	A	26	0.5	1.5	9	black	A_Slep_26	Slep	3.27	350	6	84	1	NA	NA	NA	NA
0	A27	8K_SJoh_8	A	27	1	1.5	3	orange	A_Sjoh_27	Sjoh	2.79	365	4	84	1	NA	NA	NA	NA
0	A28	Spar_1	A	28	1.5	1.5	9	black	A_Spar_28	Spar	4.95	442	9	84	1	NA	NA	NA	NA
0	A29	Spar_1	A	29	2	1.5	12	blue	A_Spar_29	Spar	4.49	372	7	84	1	NA	NA	NA	NA
0	A30	SJ_m_5	A	30	2.5	1.5	6	yellow	A_Sjoh_30	Sjoh	4.01	335	9	84	1	NA	NA	NA	NA
0	A31	All_Ptom_4	A	31	3	1.5	15	red	A_Ptom_31	Ptom	3.67	254	5	37	1	NA	NA	NA	NA
0	A32	Sbec_Sfr	A	32	3.5	1.5	18	silver	A_Sbec_32	Sbec	5.65	430	6	84	1	NA	NA	NA	NA
0	A33	Sbec_Sfr	A	33	0	2	12	blue	A_Sbec_33	Sbec	4.72	380	6	33	1	NA	NA	NA	NA
0	A34	DL_m_3	A	34	0.5	2	21	green	A_Dry_34	Dry	4.33	460	11	84	1	NA	NA	NA	NA
0	A35	SJ_m_1	A	35	1	2	9	black	A_Sjoh_35	Sjoh	3.81	362	9	84	1	NA	NA	NA	NA
0	A36	Ssmi_5	A	36	1.5	2	12	blue	A_Ssmi_36	Ssmi	6.29	354	5	56	1	NA	NA	NA	NA
0	A37	SHOREABECCARINA_Sbec	A	37	2	2	9	black	A_Sbec_37	Sbec	6.1	432	4	84	1	NA	NA	NA	NA
0	A38	Pm_m_4	A	38	2.5	2	15	red	A_Pmal_38	Pmal	3.8	285	5	42	1	NA	NA	NA	NA
0	A39	Slep_1	A	39	3	2	21	green	A_Slep_39	Slep	4.87	369	7	84	1	NA	NA	NA	NA
0	A40	SP_m_5	A	40	3.5	2	15	red	A_Spar_40	Spar	4.12	428	8	46	1	NA	NA	NA	NA
0	A41	12H_Pmal_1	A	41	0	2.5	6	yellow	A_Pmal_41	Pmal	2.65	124	3	84	1	NA	NA	NA	NA
0	A42	9L_Pmal_7	A	42	0.5	2.5	21	green	A_Pmal_42	Pmal	3.28	283	7	66	1	NA	NA	NA	NA
0	A43	ou_SJoh	A	43	1	2.5	0	white	A_Sjoh_43	Sjoh	2.65	275	4	84	1	NA	NA	NA	NA
0	A44	Sp_m_4	A	44	1.5	2.5	0	white	A_Spar_44	Spar	3.91	322	7	84	1	NA	NA	NA	NA
0	A45	DL_Tawau	A	45	2	2.5	6	yellow	A_Dry_45	Dry	5.54	510	24	84	1	NA	NA	NA	NA
0	A46	SHOREABECCARINA_Sbec	A	46	2.5	2.5	12	blue	A_Sbec_46	Sbec	5.87	365	6	84	1	NA	NA	NA	NA
0	A47	DL_m_6	A	47	3	2.5	18	silver	A_Dry_47	Dry	2.59	295	9	84	1	NA	NA	NA	NA
0	A48	Pt_m_4	A	48	3.5	2.5	6	yellow	A_Ptom_48	Ptom	3.33	278	4	84	1	NA	NA	NA	NA
0	A49	SL_m_72	A	49	0	3	6	yellow	A_Slep_49	Slep	3.41	340	9	84	1	NA	NA	NA	NA
0	A50	Pmal_1_RDC	A	50	0.5	3	18	silver	A_Pmal_50	Pmal	4.45	389	7	31	1	NA	NA	NA	NA
0	A51	SHOREABECCARINA_Sbec	A	51	1	3	18	silver	A_Sbec_51	Sbec	4.91	310	7	84	1	NA	NA	NA	NA
0	A52	8m_SJoh_6	A	52	1.5	3	18	silver	A_Sjoh_52	Sjoh	2.77	256	6	31	1	NA	NA	NA	NA
0	A53	8L_SJoh_50	A	53	2	3	0	white	A_Sjoh_53	Sjoh	4.27	322	6	84	1	NA	NA	NA	NA
0	A54	Sp_m_1	A	54	2.5	3	21	green	A_Spar_54	Spar	4.4	397	10	70	1	NA	NA	NA	NA
0	A55	Ssem_ou	A	55	3	3	9	black	A_Ssem_55	Ssem	4.04	277	4	84	1	NA	NA	NA	NA
0	A56	Ssmi_4	A	56	3.5	3	3	orange	A_Ssmi_56	Ssmi	7.32	522	6	84	1	NA	NA	NA	NA
0	A57	Ptom_4	A	57	0	3.5	9	black	A_Ptom_57	Ptom	4.71	240	7	84	1	NA	NA	NA	NA
0	A58	8m_SJoh_7	A	58	0.5	3.5	15	red	A_Sjoh_58	Sjoh	3.98	278	7	66	1	NA	NA	NA	NA
0	A59	8L_Pmal_9	A	59	1	3.5	15	red	A_Pmal_59	Pmal	4.78	310	7	72	1	NA	NA	NA	NA
