name	block	poss	xcoord	ycoord	treat	col.E	total_treat	flooded	tag	mother	sp	poss	A	E	U	gs	Tlm	Qleaf	jam	starttime 	time	dtime	Ci	com	date	cycle.start	dia
A1	A	1	0	0	18	silver	18	1	A_Sjoh_1	8K_SJoh_8	sjoh	1	-0.4	0.36	70.5	0.01	38.3	478	11:30	08:00	03:30	3.5	4.31	NA	07.08.2015	04.08.2015	3.75
A10	A	10	0.5	0.5	3	orange	3	0	A_Ssem_10	SS	ssem	10	5.14	1.72	70.5	0.28	34.9	113	10:55	08:00	02:55	2.92	308	NA	12.08.2015	04.08.2015	4.19
A104	A	104	3.5	6	3	orange	3	0	A_Sbec_104	SHOREABECCARINA_Sbec	sbec	104	1.61	0.36	70.5	0.02	34.9	134	13:41	08:00	05:41	5.68	538	NA	07.08.2015	04.08.2015	5.65
A104	A	104	3.5	6	3	orange	2	1	A_Sbec_104	SHOREABECCARINA_Sbec	sbec	104	-0.23	0.27	NA	NA	NA	43	13:17	08:00	05:17	5.28	NA	NA	03.08.2015	14.07.2015	5.65
A106	A	106	0.5	6.5	6	yellow	7	1	A_Sbec_106	SHOREABECCARINA_Sbec	sbec	106	1.56	0.67	70.8	0.05	34.4	289	10:07	08:00	02:07	2.12	322	NA	20.08.2015	04.08.2015	4.9
A110	A	110	2.5	6.5	9	black 	12	0	A_Dry_110	DL_m_3	dry	110	2.77	0.76	71.2	0.04	35	118	13:46	08:00	05:46	5.77	287	NA	07.08.2015	04.08.2015	5.06
A112	A	112	3.5	6.5	3	orange	3	0	A_Spar_112	Sp_m_3	spar	112	0.18	0.47	70.8	0.03	35.1	126	13:51	08:00	05:51	5.85	353	NA	07.08.2015	04.08.2015	3.91
A113	A	113	0	7	15	red	18	1	A_Slep_113	SL_maliau	slep	113	2.83	0.75	70.8	0.05	35.1	110	13:56	08:00	05:56	5.93	269	NA	07.08.2015	04.08.2015	3.3
A115	A	115	1	7	0	white	0	0	A_Ssmi_115	Ssmi_4	ssmi	115	2.11	0.71	70.1	0.05	35	162	14:01	08:00	06:01	6.02	278	NA	07.08.2015	04.08.2015	6.46
A116	A	116	1.5	7	12	blue	6	1	A_Ptom_116	8L_Ptom_6	ptom	116	0.46	0.21	NA	NA	NA	198	12:03	08:00	04:03	4.05	NA	NA	29.07.2015	14.07.2015	4.03
A117	A	117	2	7	6	yellow	7	1	A_Sjoh_117	SJoh_m	sjoh	117	0.78	0.56	71.8	0.04	34.5	252	10:13	08:00	02:13	2.22	346	NA	20.08.2015	04.08.2015	3.86
A120	A	120	3.5	7	3	orange	0	1	A_Dry_120	DL_Tawau	dry	120	0	0.43	NA	NA	NA	541	13:05	08:00	05:05	5.08	NA	NA	31.07.2015	14.07.2015	4.4
A121	A	121	0	7.5	6	yellow	6	0	A_Ptom_121	Pt_m_2	ptom	121	1.06	0.56	70.1	0.03	35.2	134	14:09	08:00	06:09	6.15	306	NA	07.08.2015	04.08.2015	4.56
A125	A	125	2	7.5	6	yellow	7	1	A_Sbec_125	SHOREABECCARINA_Sbec	sbec	125	-0.15	0.29	70.2	0.01	35.4	415	10:19	08:00	02:19	2.32	401	NA	20.08.2015	04.08.2015	5.48
