"sp" "si" "raden" "rwden" "rdden" "wden" "dden" "slm" "adden" "rgr" "pmort" "pleaf" "rootTstem" "leafTbio" "betaS" "betaR" "betaA" "betaE"
"1" "dry" 0.0372 0.12 0.58 0.46 1.08 0.42 5.43 0.59 0.1047 3.57128496416352e-05 0.000808766751124111 0.736364768672071 0.361645549985552 -0.190666694872331 -0.0146153703124002 -0.0648086354443851 -0.16881046537268
"2" "pmal" 0.0313 0.15 0.48 0.54 1.06 0.49 4.96 0.39 0.08073 0.00150343919297757 0.0117959385197516 1.10821933463314 0.307792273027868 -4.31071281260618 -0.0439583833924212 -0.54176331649601 -0.104997261730259
"3" "ptom" 0.0262 0.13 0.52 0.53 1.14 0.52 4.92 0.31 0.07628 0.00213348177003771 0.0111089965382423 1.25739196337714 0.290252763040932 -2.01148936482361 -0.0226582095359836 -0.403711248305983 -0.25425336154434
"4" "sbec" 0.037 0.1 0.58 0.46 1.04 0.42 5.37 0.41 0.08377 0.00144448849902054 0.00927901388706474 0.723698094365868 0.326628969784602 -1.66249059111192 -0.0444225826189575 -0.280310152371265 -0.0566836394897594
"5" "sjoh" 0.0449 0.19 0.54 0.43 1.06 0.39 4.73 0.4 0.08104 0.00138784929483593 0.0159228515045117 1.44202945767578 0.242364619261867 -2.94429693172354 -0.0367073949819563 -0.476429181551266 -0.161476207471762
"6" "slep" 0.055 0.25 0.51 0.36 0.96 0.4 4.44 0.42 0.103069 0.000176886902242567 0.00514361057303038 1.03017923451197 0.246401415393927 -1.00496397764504 -0.0166584915798582 -0.552474937163114 -0.198216739725363
"7" "spar" 0.0423 0.2 0.52 0.4 1.07 0.39 4.81 0.36 0.081742 0.00164502450207057 0.010254896296404 1.18152048315931 0.298487653517437 -3.6612007208461 -0.0484202842319171 -0.897515541705789 -0.278898383119963
"8" "ssem" 0.014 0.12 0.53 0.52 1.12 0.5 5.16 0.72 0.0819822 0.000636198459538505 0.0053535253026599 1.02239348582335 0.257097042694379 -4.62939269009354 -0.0425900263685889 -0.570588438436427 -0.198078688570144
"9" "ssmi" 0.0293 0.13 0.62 0.38 1.02 0.37 4.63 0.31 0.10058 0.000792752096466469 0.00839599896749147 0.881318758953821 0.249740528331436 -1.57651469208935 -0.042662964639811 -0.701435310939105 -0.149997553431857
"10" "sxan" 0.006 0.16 0.59 0.41 1.16 0.57 6.96 0.51 0.07022 0.00504176025969098 0.0125253586210744 1.13561314857521 0.36920464173473 -2.5366679242628 -0.0168444410412764 -0.522261841472293 -0.0428945515557682
